480,4
480,12
481,13
481,21
477,25
431,25
430,26
393,26
392,27
392,68
393,69
393,79
392,80
392,89
393,90
393,132
394,133
394,150
393,151
393,153
392,154
392,164
393,165
393,168
394,169
394,175
395,176
395,242
396,243
396,279
397,280
397,286
398,287
398,307
399,308
399,315
398,316
398,321
397,322
397,336
399,338
399,342
400,343
400,354
398,356
398,361
397,362
397,367
400,370
400,394
401,395
401,421
402,422
402,447
403,448
403,499
404,500
419,500
420,499
462,499
463,498
464,498
465,497
481,497
482,496
509,496
510,495
544,495
545,496
558,496
559,495
560,495
561,494
604,494
606,492
606,487
605,486
605,472
604,471
604,470
602,468
602,466
601,465
601,433
600,432
600,375
599,374
599,370
600,369
600,368
601,367
601,354
600,353
600,336
601,335
601,330
600,329
600,327
599,326
599,318
598,317
598,282
597,281
597,243
596,242
596,203
595,202
595,192
596,191
596,190
597,189
597,176
596,175
596,164
597,163
597,160
596,159
596,148
595,147
595,141
594,140
594,131
593,130
593,110
592,109
592,69
591,68
591,38
590,37
590,22
589,22
588,21
587,22
565,22
564,21
563,22
555,22
554,23
528,23
527,24
506,24
502,20
502,14
503,13
503,4
