533,47
532,48
506,48
503,51
503,67
501,69
497,69
496,70
490,70
486,66
486,62
485,61
485,60
484,59
481,59
480,58
480,53
479,52
479,51
477,49
444,49
443,50
419,50
416,53
416,76
417,77
417,124
418,125
418,151
419,152
419,156
420,157
420,171
419,172
419,202
420,203
420,214
421,215
421,234
422,235
422,273
423,274
423,301
424,302
424,307
423,308
423,313
424,314
424,337
425,338
425,343
426,344
426,350
427,351
427,355
426,356
426,395
427,396
427,455
428,456
428,460
427,461
427,471
429,473
430,473
431,474
441,474
442,473
480,473
481,472
509,472
510,471
541,471
542,470
543,470
544,469
544,468
545,467
545,465
546,464
555,464
556,465
556,466
557,467
557,468
558,469
559,469
560,470
574,470
575,469
576,469
577,468
577,467
578,466
578,444
577,443
577,408
576,407
576,353
575,352
575,316
574,315
574,310
573,309
573,291
574,290
574,268
573,267
573,235
572,234
572,201
571,200
571,164
570,163
570,162
569,161
569,157
568,156
568,149
569,148
569,147
570,146
570,140
569,139
569,98
568,97
568,50
567,49
567,48
566,47
